car_name,yr_mfr,fuel_type,kms_run,sale_price,city,body_type,transmission,variant,assured_buy,registered_city,registered_state,is_hot,rto,make,model,total_owners,original_price,car_rating,fitness_certificate
maruti dzire,2017,petrol,16497,634999,hyderabad,sedan,manual,vxi,True,hyderabad,telangana,True,ts08,maruti,dzire,1,635099.0,great,True
hyundai santro xing,2009,petrol & lpg,42394,253199,hyderabad,hatchback,manual,gls lpg,True,hyderabad,telangana,True,ap28,hyundai,santro xing,1,295902.0,great,True
maruti vitara brezza,2018,diesel,9104,1028178,hyderabad,suv,automatic,zdi + amt,True,hyderabad,telangana,True,ts13,maruti,vitara brezza,1,1242232.0,great,True
maruti baleno,2020,petrol,9033,728699,hyderabad,hatchback,manual,zeta 1.2 k12,True,hyderabad,telangana,True,ts07,maruti,baleno,1,Unknown,great,True
maruti swift,2013,petrol,58963,449999,hyderabad,hatchback,manual,vxi,True,hyderabad,telangana,True,ap28,maruti,swift,1,Unknown,great,True
hyundai grand i10,2016,petrol,47441,449599,hyderabad,hatchback,manual,sportz 1.2 kappa vtvt,True,hyderabad,telangana,True,ts09,hyundai,grand i10,1,453299.0,great,True
hyundai elite i20,2016,petrol,36851,623599,hyderabad,hatchback,manual,asta 1.2 (o),True,hyderabad,telangana,True,ts07,hyundai,elite i20,1,729120.0,great,True
maruti eeco,2017,petrol,41736,379699,hyderabad,suv,manual,5 str with ac plushtr,True,hyderabad,telangana,True,ts12,maruti,eeco,1,Unknown,great,True
maruti alto k10,2015,petrol,49825,329799,hyderabad,hatchback,Unknown,vxi amt,True,hyderabad,telangana,True,ts11,maruti,alto k10,1,Unknown,great,True
hyundai i20,2010,petrol,63570,389399,hyderabad,hatchback,manual,sportz 1.2 o,True,hyderabad,telangana,True,ap09,hyundai,i20,1,Unknown,great,True
hyundai i10,2011,petrol,63370,296399,hyderabad,hatchback,manual,magna 1.2 kappa2,True,hyderabad,telangana,True,ap29,hyundai,i10,1,299699.0,great,True
maruti eeco,2019,petrol,18864,470699,hyderabad,suv,manual,5 str with ac plushtr,True,hyderabad,telangana,True,ts07,maruti,eeco,1,470799.0,great,True
maruti alto 800,2015,petrol,46585,302999,hyderabad,hatchback,manual,vxi,True,hyderabad,telangana,True,ts07,maruti,alto 800,1,303099.0,great,True
maruti celerio,2015,petrol,54862,370399,hyderabad,hatchback,automatic,vxi amt,True,hyderabad,telangana,True,ts09,maruti,celerio,2,380499.0,great,True
maruti wagon r 1.0,2011,petrol & cng,66082,296799,hyderabad,hatchback,manual,lxi cng,True,hyderabad,telangana,True,ap29,maruti,wagon r 1.0,1,Unknown,great,True
maruti eeco,2019,petrol,21360,480599,hyderabad,suv,manual,5 str with ac plushtr,True,hyderabad,telangana,True,ts11,maruti,eeco,1,480699.0,great,True
maruti wagon r 1.0,2014,petrol,58748,363699,hyderabad,hatchback,manual,vxi,True,hyderabad,telangana,True,ts07,maruti,wagon r 1.0,2,Unknown,great,True
maruti wagon r 1.0,2016,petrol,59094,352099,hyderabad,hatchback,manual,vxi,True,hyderabad,telangana,True,ts12,maruti,wagon r 1.0,2,422558.0,great,True
maruti alto,2011,petrol,59317,235099,hyderabad,hatchback,manual,lxi,True,hyderabad,telangana,True,ap28,maruti,alto,2,Unknown,good,True
maruti alto k10,2012,petrol,62535,244199,hyderabad,hatchback,manual,vxi,True,hyderabad,telangana,True,ap09,maruti,alto k10,2,Unknown,great,True
hyundai i10,2010,petrol,79869,259899,hyderabad,hatchback,manual,sportz 1.2 kappa2,True,visakhapatnam,andhra pradesh,True,ap31,hyundai,i10,2,Unknown,great,True
maruti eeco,2011,petrol & lpg,76443,261099,hyderabad,suv,manual,5 str cng with ac plushtr,True,hyderabad,telangana,True,ap28,maruti,eeco,3,298759.0,great,True
maruti swift,2018,petrol,38552,610099,hyderabad,hatchback,automatic,vxi amt,True,hyderabad,telangana,True,ts07,maruti,swift,1,Unknown,great,True
